Crs & Sec,CRN,Title,Cred,Days,Time,Room,Instructor,Notes,Grad. Reqs.,Seats Left
BIO-269-A,20074,"Genetics, Gender, Disability",1,MW,2:30 PM - 3:45 PM,WALL 243,Hales K,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-303-A,20075,Biochemistry +Lab,1,W,1:30 PM - 4:20 PM,WALL 316,Thurtle-Schmidt B,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-303-B,20076,Biochemistry +Lab,1,R,1:40 PM - 4:20 PM,WALL 316,Thurtle-Schmidt B,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-309-A,20077,Genomics,1,MWF,9:30 AM - 10:20 AM,WALL 210,Thurtle-Schmidt D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-343-A,20079,Laboratory Methods in Genomics,1,TR,9:40 AM - 10:55 AM,WALL B05,Thurtle-Schmidt D,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-357-A,20698,"Molec, Cell, Neurobio Research",1,MWF,1:30 PM - 2:20 PM,WALL 243,El Bejjani R,"[{""code"":""PRM"",""description"":""Permission of instructor required""}]",,25
BIO-365-A,20080,Biology of Cancer,1,TR,8:15 AM - 9:30 AM,CHAM 3234,Melonakos J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-365-B,20599,Biology of Cancer,1,TR,9:40 AM - 10:55 AM,CHAM 3234,Melonakos J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
BIO-370-A,20783,Directed Reading in Biology,1,,,,Melonakos J,,,25
BIO-370-B,20786,Directed Reading in Biology,1,,,,Mamoon N,,,25
BIO-371-A,20667,Research in Biology I,1,,,,Smith K,,,25
BIO-371-B,20669,Research in Biology I,1,,,,Thurtle-Schmidt B,,,25
BIO-371-C,20691,Research in Biology I,1,,,,Wadgymar S,,,25
BIO-371-D,20703,Research in Biology I,1,,,,Baran N,,,25
