Crs & Sec,CRN,Title,Cred,Days,Time,Room,Instructor,Notes,Grad. Reqs.,Seats Left
ECO-204-A,20168,Stats & Basic Econometrics,1,T,1:40 PM - 2:55 PM,CHAM 2187,Casavilca Silva P,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-204-B,20169,Stats & Basic Econometrics,1,T,3:05 PM - 4:20 PM,CHAM 2068,Casavilca Silva P,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-205-A,20170,Econometrics,1,R,1:40 PM - 2:55 PM,VAC 108,Foley M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-205-B,20171,Econometrics,1,R,3:05 PM - 4:20 PM,VAC 117,Foley M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-211-A,20172,Introduction to Accounting,1,MWF,8:30 AM - 9:20 AM,CHAM 3155,Baker B,"[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]",,25
ECO-211-B,20173,Introduction to Accounting,1,MWF,10:30 AM - 11:20 AM,DANA 146,Baker B,"[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]",,25
ECO-212-A,20174,Intermediate Accounting,1,MWF,12:30 PM - 1:20 PM,DANA 146,Baker B,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-214-A,20175,Introduction to Finance,1,TR,8:15 AM - 9:30 AM,CHAM 1006,Kollme B,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-226-A,20176,Environ & Nat Resour Economics,1,TR,1:40 PM - 2:55 PM,CHAM 3106,Narantungalag O,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-227-A,20177,Economics of Gender & Family,1,MWF,12:30 PM - 1:20 PM,CHAM HANCE,Cools A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-228-A,20178,Financial Economics,1,MWF,1:30 PM - 2:20 PM,CHAM 1003,Stroup C,"[{""code"":""DO"",""description"":""Participating in the Day One course materials program pilot. Visit the College Store's Help Center for more information.""},{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-235-A,20180,Economics of Mining & Sust Dev,1,TR,3:05 PM - 4:20 PM,CHAM 3155,Narantungalag O,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-254-A,20181,Religion and Economics,1,MWF,9:30 AM - 10:20 AM,CHAM 3068,Jha J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-288-A,20563,Int'l Political Economy,1,MW,2:30 PM - 3:45 PM,CHAM 3106,Crandall B,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-295-A,20665,Concentrated Factor Pricing,1,,,,Stroup C,,,25
ECO-295-B,20743,Game Theory&Strategic Behavior,1,,,,Foley M,,,25
ECO-295-C,20757,Advanced Game Theory,1,,,,Foley M,,,25
ECO-295-D,20837,Tourism & Economic Development,1,,,,Gouri Suresh S,,,25
ECO-322-A,20183,Health Economics,1,MWF,10:30 AM - 11:20 AM,CHAM 3068,Denteh A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-329-A,20184,Sports Economics,1,MWF,11:30 AM - 12:20 PM,WATSON 119,Smith F,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-337-A,20562,International Trade,1,TR,1:40 PM - 2:55 PM,DANA 146,Gouri Suresh S,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-385-A,20616,Forecasting,1,MWF,12:30 PM - 1:20 PM,CHAM 1096,Jha J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-395-A,20656,Shareholder Activism,1,,,,Stroup C,,,25
ECO-395-B,20793,Advanced Causal Inference,1,,,,O'Keefe S,,,25
ECO-395-C,20833,Geopolitical Uncertainty & M&A,1,,,,Stroup C,,,25
ECO-495-A,20185,Contemporary Economic Issues,1,MW,2:30 PM - 3:45 PM,CHAM 1045,Gouri Suresh S,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-495-B,20186,Beckerian Economics,1,MW,2:30 PM - 3:45 PM,CHAM 3084,O'Keefe S,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-495-C,20187,Topics in Public Policy,1,MW,2:30 PM - 3:45 PM,CHAM 1006,Cools A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-495-D,20188,Topics in Corporate Finance,1,MW,2:30 PM - 3:45 PM,CHAM 3196,Stroup C,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ECO-495-H,20189,Honors Research,1,MW,2:30 PM - 3:45 PM,CHAM B027,Foley M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
EDU-141-A,20190,Intro to Philosophy of Educ,1,MWF,9:30 AM - 10:20 AM,CHAM 2068,Gay R,,,25
EDU-208-A,20605,Comp & International Education,1,TR,9:40 AM - 10:55 AM,VAC 117,Marsicano C,,,25
EDU-260-A,20606,Oppression & Education,1,MWF,8:30 AM - 9:20 AM,CHAM 1003,McElrath K,,,25
EDU-280-A,20191,Intro to Education Policy,1,TR,8:15 AM - 9:30 AM,CHAM 1003,Murray B,,,25
EDU-280-B,20192,Intro to Education Policy,1,TR,12:15 PM - 1:30 PM,CHAM 3084,Murray B,,,25
EDU-292-A,20193,Theory of Sports Coaching,1,MWF,11:30 AM - 12:20 PM,CHAM 2068,Gay R,,,25
EDU-292-B,20842,Theory of Sports Coaching,1,,,,Gay R,,,25
EDU-301-A,20194,Social Stratification in HE,1,M,1:30 PM - 4:20 PM,WATSON 310,McElrath K,,,25
EDU-395-A,20749,NC's Education System,1,,,,Gay R,,,25
EDU-395-B,20759,IND. Study- First Gen Students,1,,,,Marsicano C,,,25
EDU-395-C,20767,Independent Study in Education,1,,,,Marsicano C,,,25
EDU-400-A,20558,Dir Field Placement-Education,1,MW,2:30 PM - 3:45 PM,WATSON 157,Bailey T,"[{""code"":""PRM"",""description"":""Permission of instructor required""}]",,25
EDU-495-A,20197,Capstone,1,F,1:30 PM - 4:20 PM,CHAM 3068,Gay R,"[{""code"":""R"",""description"":""Course has restrictions; see course description""}]",,25
ENG-110-A,20198,Literature & Medicine,1,TR,8:15 AM - 9:30 AM,CHAM HANCE,Vaz O,,,25
ENG-110-B,20199,History of Nature Writing,1,MWF,8:30 AM - 9:20 AM,WATSON 157,Norris M,,,25
ENG-110-C,20200,Caribbean Literature,1,MWF,9:30 AM - 10:20 AM,WATSON 109,Flanagan B,,,25
ENG-201-A,20201,Intro to Creative Nonfiction,1,T,1:40 PM - 4:20 PM,CUNN 111,Perry S,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,25
ENG-203-A,20620,Introduction-Writing Poetry,1,TR,12:15 PM - 1:30 PM,CHAM 2198,Rippeon A,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,25
ENG-204-A,20202,Intro to Writing Fiction,1,M,1:30 PM - 4:20 PM,WATSON 140,Flanagan B,,,25
ENG-205-A,20203,Intro to Screenwriting,1,T,1:40 PM - 4:20 PM,DANA 153,Jackson J,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,25
ENG-216-I,20204,Word-Art,1,TR,9:40 AM - 10:55 AM,CHAM 2068,Churchill S,"[{""code"":""R"",""description"":""Course has restrictions; see course description""},{""code"":""INN"",""description"":""English Innovation Course""}]",,25
ENG-220-A,20205,Literary Analysis,1,TR,1:40 PM - 2:55 PM,WATSON 109,Fox A,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,25
ENG-220-B,20206,Literary Analysis,1,MWF,11:30 AM - 12:20 PM,CHAM 2084,Rippeon A,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,25
ENG-280-A,20208,American Literature,1,MWF,9:30 AM - 10:20 AM,CHAM 1027,Jensen A,,,25
ENG-290-A,20209,World Literatures,1,MWF,11:30 AM - 12:20 PM,CHAM 3196,Flanagan B,,,25
ENG-305-A,20210,Advanced Screenwriting,1,R,1:40 PM - 4:20 PM,CHAM 1086,Jackson J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""R"",""description"":""Course has restrictions; see course description""}]",,25
ENG-307-I,20211,Forms & Theories of Fiction,1,R,1:40 PM - 4:20 PM,CHAM 3068,Parker A,"[{""code"":""234"",""description"":""Sophomores, Juniors and Seniors only""},{""code"":""INN"",""description"":""English Innovation Course""}]",,25
ENG-339-I,20212,Illness Narratives,1,MWF,12:30 PM - 1:20 PM,CHAM 1003,Norris M,"[{""code"":""INN"",""description"":""English Innovation Course""}]",,25
ENG-363-A,20213,History of the Novel,1,MWF,10:30 AM - 11:20 AM,CHAM 3084,Jensen A,"[{""code"":""R"",""description"":""Course has restrictions; see course description""}]",,25
ENG-391-A,20214,Literary Criticism and Theory,1,W,1:30 PM - 4:20 PM,WATSON 140,Vincent H,"[{""code"":""234+"",""description"":""Sophomores, Juniors and Seniors only until first day of class""}]",,25
ENG-401-A,20215,True Crime,1,M,1:30 PM - 4:20 PM,CUNN 111,Perry S,"[{""code"":""34"",""description"":""Juniors and Seniors only""}]",,25
ENG-462-A,20216,Long Eighteenth-Century Gothic,1,M,1:30 PM - 4:20 PM,CHAM 3187,Vaz O,"[{""code"":""34"",""description"":""Juniors and Seniors only""}]",,25
ENG-486-A,20217,Brilliant Exiles,1,T,1:40 PM - 4:20 PM,CHAM 3068,Churchill S,"[{""code"":""34"",""description"":""Juniors and Seniors only""}]",,25
ENG-499-A,20218,Senior Honors Thesis,1,TR,9:40 AM - 10:55 AM,WATSON 147,Fox A,"[{""code"":""4"",""description"":""Seniors only""},{""code"":""R"",""description"":""Course has restrictions; see course description""}]",,25
ENV-201-A,20219,Environmental Science +Lab,1,W,1:30 PM - 4:20 PM,WALL 116,Chapman L,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,25
ENV-201-B,20220,Environmental Science +Lab,1,W,1:30 PM - 4:20 PM,WALL 116,Chapman L,"[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]",,25
ENV-201-C,20221,Environmental Science +Lab,1,R,1:40 PM - 4:20 PM,WALL 116,Chapman L,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,25
ENV-201-D,20222,Environmental Science +Lab,1,R,1:40 PM - 4:20 PM,WALL 116,Chapman L,"[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]",,25
ENV-201-E,20581,Environmental Science +Lab,1,M,1:30 PM - 4:20 PM,WALL 116,Conner S,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,25
ENV-201-F,20584,Environmental Science +Lab,1,M,1:30 PM - 4:20 PM,WALL 116,Conner S,"[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]",,25
ENV-201-G,20583,Environmental Science +Lab,1,T,1:40 PM - 4:20 PM,WALL 116,Conner S,"[{""code"":""12+"",""description"":""First-years and Sophomores only until first day of class""}]",,25
ENV-201-H,20585,Environmental Science +Lab,1,T,1:40 PM - 4:20 PM,WALL 116,Conner S,"[{""code"":""34+"",""description"":""Juniors and Seniors only until the first day of class""}]",,25
ENV-202-A,20223,Environmental Social Sciences,1,MWF,9:30 AM - 10:20 AM,WATSON 119,White T,,,25
ENV-203-A,20224,Environmental Humanities,1,TR,3:05 PM - 4:20 PM,WATSON 109,Swenson-Lengyel W,,,25
ENV-220-A,20569,Climate Systems,1,MW,2:30 PM - 3:45 PM,SLOAN 100,Nyairo R,,,25
ENV-225-A,20225,Physical Geography of the SE,1,MWF,10:30 AM - 11:20 AM,WATSON 157,Johnson B,,,25
ENV-237-A,20226,Intro to Interdisciplinary GIS,1,MW,8:05 AM - 9:20 AM,WATSON 247,Nyairo R,"[{""code"":""123+"",""description"":""First-years, Sophomores & Juniors until first day of class""}]",,25
ENV-237-B,20227,Intro to Interdisciplinary GIS,1,TR,12:15 PM - 1:30 PM,WATSON 247,Chapman L,"[{""code"":""123+"",""description"":""First-years, Sophomores & Juniors until first day of class""}]",,25
ENV-242-A,20570,"Pol Ecol:People, Power, Planet",1,MWF,1:30 PM - 2:20 PM,WATSON 157,White T,,,25
ENV-273-A,20229,"Art, Activism & Environment",1,TR,1:40 PM - 2:55 PM,WATSON 147,Garcia Peacock J,,,25
ENV-295-A,20697,Independent Study,1,,,,Paradise C,,,25
ENV-295-B,20742,Independent Study,1,,,,Chapman L,,,25
ENV-322-A,20230,Local Env Governance,1,MWF,11:30 AM - 12:20 PM,WATSON 147,O'Geen A; Johnson B,"[{""code"":""XLST"",""description"":""Cross-listed; see course description for equivalent course (registration may be changed later if needed).""}]",,25
ENV-331-A,20582,Natural Hazards,1,TR,9:40 AM - 10:55 AM,WATSON 310,Conner S,,,25
ENV-344-A,20231,Voices of the Earth,1,MWF,12:30 PM - 1:20 PM,WATSON 140,White T,,,25
ENV-385-A,20233,Environmental Justice Art,1,W,1:30 PM - 4:20 PM,WALL 251,Garcia Peacock J,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ENV-395-A,20847,Independent Research,1,,,,Paradise C,,,25
ENV-401-A,20234,Environmental Studies Seminar,1,TR,3:05 PM - 4:20 PM,WALL 210,Garcia Peacock J,"[{""code"":""4"",""description"":""Seniors only""},{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ENV-401-B,20235,Environmental Studies Seminar,1,TR,3:05 PM - 4:20 PM,WALL 210,Garcia Peacock J,"[{""code"":""3"",""description"":""Juniors only""},{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
ENV-495-A,20696,Independent Research,1,,,,Chapman L,,,25
ENV-497-A,20712,Honors Research,1,,,,Paradise C,,,25
ENV-497-B,20756,Thesis Research,1,,,,Wadgymar S,,,25
ENV-497-C,20776,Thesis Research,1,,,,Johnson B,,,25
ENV-497-D,20790,Thesis Research,1,,,,Smith K,,,25
ENV-497-E,20796,Honors Research,1,,,,Chapman L,,,25
ENV-497-F,20811,Honors Research,1,,,,Johnson B,,,25
ENV-497-G,20839,Thesis Research,1,,,,Lozada F,,,25
FMD-497-A,20721,Animation,1,,,,Dietrick J,,,25
FMS-211-A,20236,Filmmaking,1,T,1:40 PM - 4:20 PM,VAC 212,Kokdil E,,,25
FMS-230-A,20237,American Indie Cinema,1,TR,12:15 PM - 1:30 PM,WATSON 140,Jackson J,,,25
FMS-311-A,20238,Advanced Filmmaking,1,R,1:40 PM - 4:20 PM,VAC 212,Kokdil E,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
FRE-102-A,20239,Elementary French II,1,MWF,10:30 AM - 11:20 AM,CHAM 3187,Beschea F,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT-II"",""description"":""Students must attend two weekly AT sessions, meeting times TBD""}]",,25
FRE-102-B,20240,Elementary French II,1,MWF,11:30 AM - 12:20 PM,CHAM 3187,Beschea F,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT-II"",""description"":""Students must attend two weekly AT sessions, meeting times TBD""}]",,25
FRE-201-A,20241,Intermed Fre/Davidson Exposure,1,MWF,10:30 AM - 11:20 AM,CHAM 3198,Bedecarre M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
FRE-205-A,20242,Intermediate French II,1,TR,9:40 AM - 10:55 AM,CHAM 1046,Robu C,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT"",""description"":""Students must attend one weekly AT session, meeting times TBD""}]",,25
FRE-220-A,20243,Francophone Humanities,1,MW,2:30 PM - 3:45 PM,CHAM 1046,Bedecarre M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
FRE-230-A,20244,France in the Headlines,1,TR,1:40 PM - 2:55 PM,CHAM 3234,Vessier N,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
FRE-290-A,20245,Indep Study for Non-Majors,1,,,,Beschea F,"[{""code"":""PRM"",""description"":""Permission of instructor required""}]",,25
FRE-341-A,20614,The Algerian Revolution,1,TR,3:05 PM - 4:20 PM,CHAM 3198,Vessier N,,,25
FRE-351-A,20247,A Genre for Gender: Québec Com,1,TR,12:15 PM - 1:30 PM,CHAM 1046,Robu C,"[{""code"":""R"",""description"":""Course has restrictions; see course description""}]",,25
FRE-390-A,20248,Independent Study for Majors,1,,,,Beschea F,"[{""code"":""PRM"",""description"":""Permission of instructor required""}]",,25
FRE-499-A,20249,Honors Project 2,1,,,,Beschea F,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
FRE-499-B,20707,French Honors Thesis,1,,,,Bedecarre M,,,25
GER-102-A,20250,What is German? II,1,MWF,11:30 AM - 12:20 PM,CHAM 2187,McCarthy M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT-II"",""description"":""Students must attend two weekly AT sessions, meeting times TBD""}]",,25
GER-202-A,20251,German Stories & Histories II,1,MWF,9:30 AM - 10:20 AM,CHAM 3187,Henke B,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT"",""description"":""Students must attend one weekly AT session, meeting times TBD""}]",,25
GER-242-A,20598,Hollywood Alternatives,1,MWF,1:30 PM - 2:20 PM,CHAM 1086,McCarthy M,"[{""code"":""IN-ENGL"",""description"":""In English""}]",,25
GER-301-A,20252,Memory and Belonging I,1,MWF,12:30 PM - 1:20 PM,CHAM 3209,Henke B,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
GER-333-A,20628,Hannah Arendt,1,TR,8:15 AM - 9:30 AM,CHAM 1045,Denham S,"[{""code"":""IN-ENGL"",""description"":""In English""}]",,25
GER-398-A,20848,"Gropius, Bauhaus, Modernism",1,,,,Denham S,,,25
GER-402-A,20255,Wanderlust,1,W,1:30 PM - 4:20 PM,CHAM 2234,Denham S,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
GER-498-A,20803,German Colonialism,1,,,,Denham S,,,25
GRE-103-A,20257,IntensAncientGreek (2 credits),2,TR,12:15 PM - 1:30 PM,CHAM 2209,Cheshire K,"[{""code"":""AT-II"",""description"":""Students must attend two weekly AT sessions, meeting times TBD""}]",,25
GRE-218-A,20258,New Testament Greek,1,MWF,11:30 AM - 12:20 PM,EU 101,Krentz P,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""XLST"",""description"":""Cross-listed; see course description for equivalent course (registration may be changed later if needed).""}]",,25
GRE-318-A,20259,Adv. New Testament Greek,1,MWF,11:30 AM - 12:20 PM,EU 101,Krentz P,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""XLST"",""description"":""Cross-listed; see course description for equivalent course (registration may be changed later if needed).""}]",,25
GSS-101-A,20260,Intro to Gender & Sexuality,1,MWF,10:30 AM - 11:20 AM,CHAM 1027,Sokol K,,,25
GSS-201-A,20261,Feminist & Queer Theories,1,TR,3:05 PM - 4:20 PM,CHAM 3209,Tilburg P,,,25
GSS-204-A,20578,Trans Studies,1,MWF,12:30 PM - 1:20 PM,CHAM 3068,Sokol K,,,25
GSS-246-A,20650,"Sex, Love & Relationships",1,TR,8:15 AM - 9:30 AM,WATSON 147,Kaufman G,,,25
GSS-324-A,20263,"Sex, Law & Modernity",1,TR,12:15 PM - 1:30 PM,CHAM 2187,Boyer P; Tilburg P,,,25
GSS-333-A,20264,Queer Disability Studies,1,MW,2:30 PM - 3:45 PM,WALL 320,Sokol K,,,25
GSS-440-A,20265,Matters of Life & Death,1,T,1:40 PM - 4:20 PM,EU 101,Horowitz K,,,25
GSS-495-A,20745,Third World Feminisms,1,,,,Gonzalez M,,,25
HIS-124-A,20266,Russia: A Multinational Empire,1,TR,8:15 AM - 9:30 AM,CHAM 3084,Benjamin T,,,25
HIS-163-A,20565,Place & Nation in Mod Lat Amer,1,MWF,10:30 AM - 11:20 AM,CHAM 3106,Gasparowicz N,,,25
HIS-171-A,20267,Making Modern South Asia,1,MWF,8:30 AM - 9:20 AM,CHAM 2068,Chaudhuri M,,,25
HIS-175-A,20268,"Mid East,610-1453:Formtn Islam",1,MWF,11:30 AM - 12:20 PM,CHAM 3106,Berkey J,"[{""code"":""123+"",""description"":""First-years, Sophomores & Juniors until first day of class""}]",,25
HIS-184-A,20269,Modern East Asia,1,MWF,9:30 AM - 10:20 AM,CHAM 3106,Mortensen D,"[{""code"":""123+"",""description"":""First-years, Sophomores & Juniors until first day of class""}]",,25
HIS-222-A,20270,Food and Empire,1,MWF,10:30 AM - 11:20 AM,CHAM 1006,Dietz V,"[{""code"":""123+"",""description"":""First-years, Sophomores & Juniors until first day of class""}]",,25
HIS-261-A,20271,American Revolutions 1763-1821,1,TR,3:05 PM - 4:20 PM,CHAM 1015,Cho H,"[{""code"":""123+"",""description"":""First-years, Sophomores & Juniors until first day of class""}]",,25
HIS-276-A,20272,"Zionism, Israel, Palestine",1,TR,12:15 PM - 1:30 PM,CHAM 1015,Lipsker C,,,25
HIS-312-A,20273,"The Crusades, Then and Now",1,TR,9:40 AM - 10:55 AM,WATSON 119,Berkey J; Kabala J,,,25
HIS-325-A,20274,Britain in Long 18C,1,TR,1:40 PM - 2:55 PM,CHAM 1046,Dietz V,,,25
HIS-349-A,20275,The Vietnam Experience,1,MW,8:05 AM - 9:20 AM,CHAM 1006,Aldridge D,,,25
HIS-386-A,20276,Modern China,1,MWF,1:30 PM - 2:20 PM,CHAM 3106,Mortensen D,"[{""code"":""234+"",""description"":""Sophomores, Juniors and Seniors only until first day of class""}]",,25
HIS-395-A,20849,Independent Study,1,,,,Tilburg P,,,25
HIS-414-A,20277,Digital Medieval History,1,T,1:40 PM - 4:20 PM,CHAM 1086,Kabala J,,,25
HIS-431-A,20278,Genocides in 20thC Eurasia,1,R,1:40 PM - 4:20 PM,CHAM 1096,Benjamin T,"[{""code"":""234"",""description"":""Sophomores, Juniors and Seniors only""}]",,25
HIS-441-A,20279,Making of the Pacific World,1,M,1:30 PM - 4:20 PM,CHAM 2234,Cho H,"[{""code"":""234"",""description"":""Sophomores, Juniors and Seniors only""}]",,25
HIS-449-A,20280,Age of Revolution: US in 1960s,1,W,1:30 PM - 4:20 PM,VAC 108,Aldridge D,,,25
HIS-475-A,20602,Neoliberalism's Global History,1,M,1:30 PM - 4:20 PM,CHAM 2196,Chaudhuri M,,,25
HIS-489-A,20282,Kelley Honors Seminar,1,W,1:30 PM - 4:20 PM,CHAM 2196,Wiemers A,"[{""code"":""4"",""description"":""Seniors only""}]",,25
HUM-104-A,20283,Connections and Conflicts II,1,R,3:05 PM - 4:20 PM,CHAM HANCE,Bory A; Wills A; O'Geen A; Corso-Esquivel J; Lipsker C,"[{""code"":""1"",""description"":""First-years only""}]",,25
HUM-196-A,20289,Adv Studies in Humanities II,1,T,3:05 PM - 4:20 PM,CHAM 3234,Bory A,"[{""code"":""PRM"",""description"":""Permission of instructor required""}]",,25
LAS-101-A,20290,Intro to Latin Amer Studies,1,TR,8:15 AM - 9:30 AM,CHAM 3068,Castaneda V; Cornejo Casares O,,,25
LAS-221-A,20597,Afro-Brazilian History & Cultu,1,TR,3:05 PM - 4:20 PM,CHAM 1003,Castaneda V,,,25
LAS-251-A,20291,Latinx Citizenship,1,MWF,9:30 AM - 10:20 AM,CHAM 1046,Cornejo Casares O,,,25
LAS-252-A,20604,"Sex, Power & Religion in Latin",1,TR,1:40 PM - 2:55 PM,CHAM 1015,Gasparowicz N,,,25
LAS-330-A,20292,Undocumented Immigration,1,TR,9:40 AM - 10:55 AM,CHAM 1015,Cornejo Casares O,,,25
LAT-102-A,20294,Introductory Latin II,1,MWF,11:30 AM - 12:20 PM,CHAM 1046,Truetzel A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT-II"",""description"":""Students must attend two weekly AT sessions, meeting times TBD""}]",,25
LAT-224-A,20560,Pastoral Poetry,1,MWF,10:30 AM - 11:20 AM,CHAM 1086,Lee T,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""XLST"",""description"":""Cross-listed; see course description for equivalent course (registration may be changed later if needed).""}]",,25
LAT-324-A,20561,Adv Pastoral Poetry,1,MWF,10:30 AM - 11:20 AM,CHAM 1086,Lee T,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""XLST"",""description"":""Cross-listed; see course description for equivalent course (registration may be changed later if needed).""}]",,25
LIT-395-A,20851,Post-Colonial Lit & Theory,1,,,,Boyer P,,,25
LIT-432-A,20296,Theory & Prac Literature,1,W,1:30 PM - 4:20 PM,CHAM 3187,Ewington A; Gonzalez M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
MAT-105-A,20297,Introduction to Statistics,1,MWF,11:30 AM - 12:20 PM,WATSON 247,Wang K,,,25
MAT-112-A,20298,Calculus I and Modeling,1,MWF,9:30 AM - 10:20 AM,WATSON 147,Duhon A,"[{""code"":""DO"",""description"":""Participating in the Day One course materials program pilot. Visit the College Store's Help Center for more information.""},{""code"":""R"",""description"":""Course has restrictions; see course description""},{""code"":""AT-Calc"",""description"":""Students must attend a Calc AT session, either MW 7-8pm, TR 7-8pm or TR 10-11am""}]",,25
MAT-112-B,20299,Calculus I and Modeling,1,MWF,10:30 AM - 11:20 AM,WATSON 147,Duhon A,"[{""code"":""DO"",""description"":""Participating in the Day One course materials program pilot. Visit the College Store's Help Center for more information.""},{""code"":""R"",""description"":""Course has restrictions; see course description""}]",,25
MAT-112-C,20300,Calculus I and Modeling,1,MWF,8:30 AM - 9:20 AM,CHAM 2187,Chavez A,"[{""code"":""R"",""description"":""Course has restrictions; see course description""}]",,25
MAT-113-A,20301,Calculus II,1,MWF,9:30 AM - 10:20 AM,CHAM HANCE,Chartier T,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
MAT-113-B,20302,Calculus II,1,MWF,12:30 PM - 1:20 PM,WATSON 119,Zhuang Y,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
MAT-140-A,20303,Multivar Calculus & Modeling,1,MWF,12:30 PM - 1:20 PM,WATSON 147,Heyer L,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
MAT-150-A,20304,Linear Algebra,1,TR,12:15 PM - 1:30 PM,WATSON 243,Blake H,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
MAT-150-B,20305,Linear Algebra,1,TR,1:40 PM - 2:55 PM,WATSON 132,Bachmann M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
MAT-160-A,20306,Calculus III,1,MWF,10:30 AM - 11:20 AM,WATSON 119,Wright A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,25
MAT-210-A,20307,Mathematical Modeling,1,MWF,12:30 PM - 1:20 PM,CHAM 3155,Chartier T,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""XLST"",""description"":""Cross-listed; see course description for equivalent course (registration may be changed later if needed).""}]",,25
