Crs & Sec,CRN,Title,Cred,Days,Time,Room,Instructor,Notes,Grad. Reqs.,Seats Left,subject,course_number,section,credits,weekdays,start_time,end_time,building,room,enrolled,capacity,seats_remaining
SPA-102-C,20469,Elementary Spanish II,1,MWF,11:30 AM - 12:20 PM,CHAM 3198,Santamaria L,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT-II"",""description"":""Students must attend two weekly AT sessions, meeting times TBD""}]",,,SPA,102,C,1,MWF,1130,1220,CHAM,3198,,,25
SPA-102-D,20622,Elementary Spanish II,1,MWF,12:30 PM - 1:20 PM,CHAM 1027,Esparragoza R,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT-II"",""description"":""Students must attend two weekly AT sessions, meeting times TBD""}]",,,SPA,102,D,1,MWF,1230,1320,CHAM,1027,,,25
SPA-102-E,20574,Elementary Spanish II,1,MWF,10:30 AM - 11:20 AM,CHAM 2187,Santamaria L,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT-II"",""description"":""Students must attend two weekly AT sessions, meeting times TBD""}]",,,SPA,102,E,1,MWF,1030,1120,CHAM,2187,,,25
SPA-201-A,20471,Intermediate Spanish,1,MWF,8:30 AM - 9:20 AM,CHAM 2198,Paredes Chanca M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT-II"",""description"":""Students must attend two weekly AT sessions, meeting times TBD""}]",,,SPA,201,A,1,MWF,0830,0920,CHAM,2198,,,25
SPA-201-B,20472,Intermediate Spanish,1,MWF,10:30 AM - 11:20 AM,CHAM 2198,Paredes Chanca M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT-II"",""description"":""Students must attend two weekly AT sessions, meeting times TBD""}]",,,SPA,201,B,1,MWF,1030,1120,CHAM,2198,,,25
SPA-201-C,20473,Intermediate Spanish,1,MWF,1:30 PM - 2:20 PM,CHAM 2198,Geyer C,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT-II"",""description"":""Students must attend two weekly AT sessions, meeting times TBD""}]",,,SPA,201,C,1,MWF,1330,1420,CHAM,2198,,,25
SPA-201-D,20474,Intermediate Spanish,1,MWF,2:30 PM - 3:20 PM,CHAM 2198,Geyer C,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT-II"",""description"":""Students must attend two weekly AT sessions, meeting times TBD""}]",,,SPA,201,D,1,MWF,1430,1520,CHAM,2198,,,25
SPA-201-E,20575,Intermediate Spanish,1,MWF,11:30 AM - 12:20 PM,CHAM HANCE,Boyer P,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT-II"",""description"":""Students must attend two weekly AT sessions, meeting times TBD""}]",,,SPA,201,E,1,MWF,1130,1220,CHAM,HANCE,,,25
SPA-219-A,20840,Research Methods in Linguistic,1,,,,Jimenez A,,,,SPA,219,A,1,,,,,,,,25
SPA-260-A,20475,Conversation & Composition,1,MWF,12:30 PM - 1:20 PM,CHAM 3234,Jimenez A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT"",""description"":""Students must attend one weekly AT session, meeting times TBD""}]",,,SPA,260,A,1,MWF,1230,1320,CHAM,3234,,,25
SPA-260-C,20477,Conversation & Composition,1,TR,1:40 PM - 2:55 PM,CHAM 3187,Maiz-Pena M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""},{""code"":""AT"",""description"":""Students must attend one weekly AT session, meeting times TBD""}]",,,SPA,260,C,1,TR,1340,1455,CHAM,3187,,,25
SPA-265-A,20478,Spanish for the Professions,1,MWF,11:30 AM - 12:20 PM,CHAM 3234,Paredes Chanca M,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,SPA,265,A,1,MWF,1130,1220,CHAM,3234,,,25
SPA-271-A,20479,Hispanic Humanities I,1,TR,1:40 PM - 2:55 PM,CHAM 2198,Willis A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,SPA,271,A,1,TR,1340,1455,CHAM,2198,,,25
SPA-272-A,20480,Hispanic Humanities II,1,TR,9:40 AM - 10:55 AM,CHAM 3187,Pena L,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,SPA,272,A,1,TR,0940,1055,CHAM,3187,,,25
SPA-272-B,20481,Hispanic Humanities II,1,TR,12:15 PM - 1:30 PM,CHAM 3198,Pena L,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,SPA,272,B,1,TR,1215,1330,CHAM,3198,,,25
SPA-307-A,20482,The Bilingual Mind,1,MWF,9:30 AM - 10:20 AM,CHAM 2187,Jimenez A,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,SPA,307,A,1,MWF,0930,1020,CHAM,2187,,,25
SPA-324-A,20483,Emotionl Comm Medievel Iberia,1,TR,8:15 AM - 9:30 AM,CHAM 3209,Sanchez-Sanchez S,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,SPA,324,A,1,TR,0815,0930,CHAM,3209,,,25
SPA-329-A,20782,IS: Spa Lit Prior to 1700,1,,,,Sanchez-Sanchez S,,,,SPA,329,A,1,,,,,,,,25
SPA-348-A,20544,Cultural Politics of Flamenco,1,TR,9:40 AM - 10:55 AM,CHAM 3209,Sanchez-Sanchez S,"[{""code"":""PRQ"",""description"":""There is a prerequisite for the course; see catalog""}]",,,SPA,348,A,1,TR,0940,1055,CHAM,3209,,,25
